transaction_id,vendor,po_number,invoice_number,invoice_amount,po_amount,tax_amount,expected_tax_amount,invoice_date
T0001,Umbrella Distribution,PO-1001,INV-2001,3692.31,3692.31,295.38,295.38,2026-07-09
T0002,Acme Supplies,PO-1002,INV-2002,1681.85,1681.85,134.55,134.55,2026-07-06
T0003,Initech Parts,PO-1003,INV-2003,3394.63,3394.63,271.57,271.57,2026-07-01
T0004,Globex Logistics,PO-1004,INV-2004,1970.16,1970.16,157.61,157.61,2026-06-16
T0005,Umbrella Distribution,PO-1005,INV-2005,2425.54,2425.54,194.04,194.04,2026-06-02
T0006,Globex Logistics,PO-1006,INV-2006,4612.77,4612.77,369.02,369.02,2026-07-06
T0007,Umbrella Distribution,PO-1007,INV-2007,2826.58,2826.58,226.13,226.13,2026-06-11
T0008,Umbrella Distribution,PO-1007,INV-2007,2826.58,2826.58,226.13,226.13,2026-06-11
T0009,Umbrella Distribution,PO-1009,INV-2009,1154.44,1120.82,92.36,92.36,2026-07-21
T0010,Globex Logistics,PO-1010,INV-2010,1382.29,1234.19,110.58,110.58,2026-07-09
T0011,Initech Parts,PO-1011,INV-2011,1378.45,1102.76,110.28,110.28,2026-07-09
T0012,Wayne Materials,PO-1012,INV-2012,1952.82,1952.82,78.11,156.23,2026-07-19
T0013,Initech Parts,PO-1013,INV-2013,1576.05,1576.05,189.13,126.08,2026-06-19
T0014,Acme Supplies,PO-1014,INV-2014,369.12,369.12,59.06,29.53,2026-07-19
T0015,Acme Supplies,,INV-2015,2508.05,2508.05,200.64,200.64,2026-07-08
T0016,Acme Supplies,,INV-2016,2929.9,2929.9,234.39,234.39,2026-06-25
T0017,Umbrella Distribution,,INV-2017,1597.55,1597.55,127.8,127.8,2026-07-19
T0018,Globex Logistics,,INV-2018,2502.23,1924.79,200.18,200.18,2026-06-21
